major,elective,year,applied,passed,min_score,max_score,quota
รัฐประศาสนศาสตร์,ภาษาอังกฤษ,69,1172.0,54.0,68.3276,74.1873,67.0
รัฐประศาสนศาสตร์,ภาษาเกาหลี,66,42.0,5.0,64.775,67.1526,66.0
รัฐประศาสนศาสตร์,ภาษาเกาหลี,67,93.0,4.0,63.9944,67.036,66.0
รัฐประศาสนศาสตร์,ภาษาเกาหลี,68,3.0,3.0,68.5276,70.1388,66.0
รัฐประศาสนศาสตร์,ภาษาเกาหลี,69,51.0,0.0,,,67.0
รัฐประศาสนศาสตร์,ภาษาเยอรมัน,66,27.0,1.0,64.3138,64.3138,66.0
รัฐประศาสนศาสตร์,ภาษาเยอรมัน,67,39.0,3.0,67.261,71.2472,66.0
รัฐประศาสนศาสตร์,ภาษาเยอรมัน,68,5.0,0.0,,,66.0
รัฐประศาสนศาสตร์,ภาษาเยอรมัน,69,46.0,0.0,,,67.0
สังคมวิทยาและมานุษยวิทยา,คณิตศาสตร์ประยุกต์ 2,66,196.0,9.0,70.125,83.8958,61.0
สังคมวิทยาและมานุษยวิทยา,คณิตศาสตร์ประยุกต์ 2,67,208.0,0.0,,,61.0
สังคมวิทยาและมานุษยวิทยา,คณิตศาสตร์ประยุกต์ 2,68,241.0,4.0,73.368,74.861,61.0
สังคมวิทยาและมานุษยวิทยา,คณิตศาสตร์ประยุกต์ 2,69,237.0,8.0,70.3588,75.5158,64.0
สังคมวิทยาและมานุษยวิทยา,ภาษาจีน,66,48.0,0.0,,,61.0
สังคมวิทยาและมานุษยวิทยา,ภาษาจีน,67,78.0,2.0,70.0,71.1665,61.0
สังคมวิทยาและมานุษยวิทยา,ภาษาจีน,68,59.0,0.0,,,61.0
สังคมวิทยาและมานุษยวิทยา,ภาษาจีน,69,82.0,2.0,71.6985,72.2973,64.0
สังคมวิทยาและมานุษยวิทยา,ภาษาญี่ปุ่น,66,39.0,0.0,,,61.0
สังคมวิทยาและมานุษยวิทยา,ภาษาญี่ปุ่น,67,70.0,0.0,,,61.0
สังคมวิทยาและมานุษยวิทยา,ภาษาญี่ปุ่น,68,56.0,1.0,73.4583,73.4583,61.0
สังคมวิทยาและมานุษยวิทยา,ภาษาญี่ปุ่น,69,66.0,3.0,70.3978,71.2893,64.0
สังคมวิทยาและมานุษยวิทยา,ภาษาฝรั่งเศส,66,52.0,4.0,70.7915,71.8333,61.0
สังคมวิทยาและมานุษยวิทยา,ภาษาฝรั่งเศส,67,72.0,3.0,70.0625,72.4375,61.0
สังคมวิทยาและมานุษยวิทยา,ภาษาฝรั่งเศส,68,64.0,3.0,75.375,80.611,61.0
สังคมวิทยาและมานุษยวิทยา,ภาษาฝรั่งเศส,69,57.0,3.0,70.0485,72.1558,64.0
สังคมวิทยาและมานุษยวิทยา,ภาษาสเปน,66,10.0,0.0,,,61.0
สังคมวิทยาและมานุษยวิทยา,ภาษาสเปน,67,26.0,0.0,,,61.0
สังคมวิทยาและมานุษยวิทยา,ภาษาสเปน,68,28.0,0.0,,,61.0
สังคมวิทยาและมานุษยวิทยา,ภาษาสเปน,69,34.0,0.0,,,64.0
สังคมวิทยาและมานุษยวิทยา,ภาษาเกาหลี,66,44.0,0.0,,,61.0
สังคมวิทยาและมานุษยวิทยา,ภาษาเกาหลี,67,78.0,5.0,70.7778,74.0208,61.0
สังคมวิทยาและมานุษยวิทยา,ภาษาเกาหลี,68,44.0,1.0,73.6458,73.6458,61.0
สังคมวิทยาและมานุษยวิทยา,ภาษาเกาหลี,69,39.0,1.0,71.1785,71.1785,64.0
สังคมวิทยาและมานุษยวิทยา,ภาษาเยอรมัน,66,17.0,0.0,,,61.0
สังคมวิทยาและมานุษยวิทยา,ภาษาเยอรมัน,67,37.0,2.0,72.7153,73.5415,61.0
สังคมวิทยาและมานุษยวิทยา,ภาษาเยอรมัน,68,21.0,1.0,73.3888,73.3888,61.0
สังคมวิทยาและมานุษยวิทยา,ภาษาเยอรมัน,69,35.0,0.0,,,64.0
สังคมวิทยาและมานุษยวิทยา,ภาษาไทย,66,2380.0,48.0,70.118,76.1875,61.0
สังคมวิทยาและมานุษยวิทยา,ภาษาไทย,67,1981.0,49.0,69.7915,75.9443,61.0
สังคมวิทยาและมานุษยวิทยา,ภาษาไทย,68,1389.0,51.0,73.2985,78.8888,61.0
สังคมวิทยาและมานุษยวิทยา,ภาษาไทย,69,831.0,47.0,69.9938,82.6863,64.0
